#Transcript position	Transcript coverage profile
0.0	109743.67697602193
1.0	142371.0326113363
2.0	152448.35206763877
3.0	157230.5403740235
4.0	159231.83457382757
5.0	170524.06462320022
6.0	172762.0147760272
7.0	173464.68661025996
8.0	171800.76790422207
9.0	176946.5943347436
10.0	180254.90289163234
11.0	182174.0391030247
12.0	188554.33790975504
13.0	191142.04091380347
14.0	194141.20055750574
15.0	193080.34306200582
16.0	189197.34045111603
17.0	194585.42025115338
18.0	195981.29960935435
19.0	201238.73370393782
20.0	206124.46798330938
21.0	205934.7186216945
22.0	205566.54204481805
23.0	203537.34766078286
24.0	201476.98256130618
25.0	197591.89393439196
26.0	193295.0866709546
27.0	180379.83653762593
28.0	193497.45718177012
29.0	192280.3609575079
30.0	187095.9444739912
31.0	180215.77867189117
32.0	180626.98231329783
33.0	181852.35916827177
34.0	183596.21757428438
35.0	177883.4982138758
36.0	168226.67534884939
37.0	158970.84955165425
38.0	155781.21203266561
39.0	161251.43459368803
40.0	164245.360001529
41.0	172866.65696738817
42.0	177196.85448477912
43.0	176492.31024300502
44.0	177355.11983644264
45.0	171419.6309979589
46.0	177149.72595311128
47.0	173564.19357354857
48.0	168744.17052827202
49.0	162282.2205531827
50.0	148098.84458523197
51.0	147418.66890560245
52.0	137538.87459530923
53.0	134715.22476494443
54.0	129791.43689246496
55.0	127053.60229372572
56.0	126842.05646535837
57.0	122598.82063402662
58.0	116250.1977370695
59.0	114570.16356368181
60.0	114394.40010257022
61.0	117569.37532779404
62.0	119760.72338225726
63.0	123363.20554178036
64.0	121682.90004181498
65.0	122598.84099980594
66.0	119637.01705749458
67.0	121849.70753205464
68.0	120541.4436932785
69.0	121247.43670447345
70.0	120627.12713274684
71.0	118397.78306580758
72.0	112870.15252385884
73.0	111975.15679000274
74.0	111521.49372976836
75.0	113164.46396618776
76.0	120845.9526388001
77.0	127722.23657659284
78.0	128837.4433003803
79.0	125039.65868403415
80.0	119863.84670849153
81.0	118317.51047784294
82.0	117234.13185841369
83.0	112426.42397145381
84.0	107696.3872167857
85.0	105338.37484811786
86.0	103593.19971816725
87.0	101946.17912662076
88.0	93607.31991905413
89.0	85605.94804896065
90.0	77447.40655112757
91.0	73094.43820216191
92.0	68163.47822494549
93.0	56976.12705491451
94.0	45317.98030167937
95.0	35500.23090728764
96.0	28244.969154339582
97.0	19934.751314901292
98.0	10459.471150230705
99.0	2897.664986016096
