#Transcript position	Transcript coverage profile
0.0	693698.1204565853
1.0	978619.7903315182
2.0	1059019.2998140214
3.0	1106361.7934135264
4.0	1122391.2199951527
5.0	1132826.2333647176
6.0	1134152.037996405
7.0	1141190.496007831
8.0	1150238.9109435172
9.0	1151994.4385403907
10.0	1146958.4524021132
11.0	1135926.7731201646
12.0	1136455.0029308377
13.0	1144300.488015851
14.0	1145873.3766604261
15.0	1141009.8747343323
16.0	1133606.2573189058
17.0	1131252.3715948798
18.0	1105874.056679829
19.0	1103985.9050770155
20.0	1120270.1712999523
21.0	1124882.0854100033
22.0	1111358.9888544858
23.0	1106343.7187343044
24.0	1109649.348035605
25.0	1117311.0388125486
26.0	1130372.202065641
27.0	1141826.5664404768
28.0	1148687.8774909133
29.0	1151302.6208652463
30.0	1162842.4263641771
31.0	1174312.664340028
32.0	1183256.2084006863
33.0	1175661.4445417004
34.0	1165589.0343745989
35.0	1162700.979183045
36.0	1165173.7454645257
37.0	1158190.6991517965
38.0	1159690.458638179
39.0	1156190.0342232937
40.0	1180064.6224256281
41.0	1187047.7172885684
42.0	1191825.3815944502
43.0	1202019.9624264059
44.0	1200976.2355055262
45.0	1203376.6652115788
46.0	1200073.5246857891
47.0	1205585.9071237878
48.0	1225361.4749168586
49.0	1229308.2021310297
50.0	1238732.2189363646
51.0	1253578.0842922488
52.0	1255034.795680279
53.0	1256896.6011534303
54.0	1264312.7470335308
55.0	1266563.3660565065
56.0	1262353.5923528206
57.0	1264563.2161124542
58.0	1257230.6137030437
59.0	1247570.4021560354
60.0	1249086.7841089545
61.0	1255147.393641431
62.0	1264478.13311724
63.0	1269763.6603781653
64.0	1275798.4975797615
65.0	1278870.1608298633
66.0	1281905.785263037
67.0	1295699.1033214452
68.0	1293720.0860694807
69.0	1301732.348950054
70.0	1316958.950890783
71.0	1312830.0379469472
72.0	1324628.8980041707
73.0	1339246.922870804
74.0	1351828.8355446197
75.0	1361016.854144033
76.0	1369853.0142981925
77.0	1370955.0346631547
78.0	1364795.5483051813
79.0	1367573.410469779
80.0	1376608.3608155116
81.0	1364905.9916594091
82.0	1356332.6513967589
83.0	1342469.3270653987
84.0	1322672.5732665255
85.0	1309306.2620416523
86.0	1291563.2995274207
87.0	1274281.3836663072
88.0	1225312.106130784
89.0	1164943.4830020268
90.0	1100310.0696537101
91.0	1013048.9664149968
92.0	915800.0946227775
93.0	804762.885208641
94.0	696935.5146258769
95.0	590218.8627102207
96.0	453389.0448698617
97.0	316568.15417027357
98.0	187245.59843246482
99.0	62132.208615291645
