#Transcript position	Transcript coverage profile
0.0	33681.75808286473
1.0	36409.594259066325
2.0	37617.84181407041
3.0	37841.54334107464
4.0	38698.09687148842
5.0	39555.64893505964
6.0	40194.109339600276
7.0	40579.38937586842
8.0	40936.10881755758
9.0	41516.65765735713
10.0	42289.71932227925
11.0	43639.91427693209
12.0	44733.44557601951
13.0	45480.935262695275
14.0	45698.753184264264
15.0	46577.31343180946
16.0	46847.54675142333
17.0	47269.62648773057
18.0	47821.08118494267
19.0	48305.27151120518
20.0	49475.7979884998
21.0	49683.81420826781
22.0	50329.107004292775
23.0	50150.19723919132
24.0	50778.218983402214
25.0	51363.05501183552
26.0	52881.67827919123
27.0	54213.2530710782
28.0	55510.77157217134
29.0	57377.2392675662
30.0	58312.88705545109
31.0	60752.59594298763
32.0	62159.07149038843
33.0	61610.8385109661
34.0	62106.35397237205
35.0	64023.10383859697
36.0	66219.4037366863
37.0	67355.29110235556
38.0	69290.49406967942
39.0	71294.22359091457
40.0	73920.9618213388
41.0	75389.90236630717
42.0	77074.28996470694
43.0	78754.26799506752
44.0	80719.00142494308
45.0	82940.41164259234
46.0	83674.46661327663
47.0	84563.34707648914
48.0	85433.26482306319
49.0	86606.30024810239
50.0	88439.04739653242
51.0	89631.93645331184
52.0	89951.32799434807
53.0	90784.25424123107
54.0	92424.81822171953
55.0	93786.46827833985
56.0	95224.75984980159
57.0	97396.12248942329
58.0	100312.51598206336
59.0	103371.07554160472
60.0	106730.82363896206
61.0	111002.76627484032
62.0	115853.59868068073
63.0	121415.80278335491
64.0	126924.7343224642
65.0	133886.154619172
66.0	140815.06090840182
67.0	147591.32042741944
68.0	153300.64837712253
69.0	158343.2011287652
70.0	163573.478346695
71.0	168104.7338514604
72.0	174081.89864413184
73.0	178626.3626703447
74.0	183309.92710923508
75.0	189567.98410545493
76.0	194811.77251186335
77.0	199452.14204317657
78.0	202063.25290057485
79.0	207686.79806437323
80.0	211306.87199384114
81.0	215595.65871891557
82.0	216272.18746261648
83.0	218072.1942951709
84.0	217473.32058907064
85.0	216706.25716411285
86.0	213875.37809705889
87.0	210777.9962492703
88.0	206432.62784484104
89.0	197505.74874841605
90.0	189460.64096861516
91.0	176943.32319905522
92.0	162548.9597362986
93.0	146409.16493201067
94.0	128710.33485112144
95.0	110365.20299205577
96.0	85839.28229621383
97.0	58525.42316260655
98.0	32772.5032830196
99.0	9186.43153488394
