id,tot_genes,tot_umi,mean_gene,mad_gene,med_gene,med_umi,mad_umi,cells,Protocol,reads
downsampled_25000,18417,551380,4377.5,198.6684,4364.5,16536.5,2814.7160999999996,32,"Janjic
 Prime-seq",25000
downsampled_50000,20889,1064449,6244.774193548387,358.7892,6221,31719,4327.7094,31,"Janjic
 Prime-seq",50000
downsampled_75000,22500,1590471,7460.4838709677415,553.0097999999999,7507,47439,6293.637,31,"Janjic
 Prime-seq",75000
downsampled_100000,23613,2112820,8378.129032258064,681.996,8593,63039,7789.5804,31,"Janjic
 Prime-seq",100000
downsampled_150000,25516,3145002,9685.838709677419,739.8173999999999,9930,93524,11057.2308,31,"Janjic
 Prime-seq",150000
downsampled_200000,26853,4163566,10640.741935483871,858.4254,10903,124345,14791.9002,31,"Janjic
 Prime-seq",200000
downsampled_250000,27842,5167355,11356.129032258064,907.3512,11679,154307,17112.1692,31,"Janjic
 Prime-seq",250000
downsampled_300000,28585,6155618,11936.483870967742,871.7687999999999,12317,184293,20698.578599999997,31,"Janjic
 Prime-seq",300000
downsampled_400000,30011,7835454,12928.966666666667,675.3243,13246,241694,21747.518099999998,30,"Janjic
 Prime-seq",400000
downsampled_500000,30919,9335833,13655.48275862069,496.671,14004,297347,21459.1524,29,"Janjic
 Prime-seq",500000
downsampled_ 1000000,32595,15889673,15908.923076923076,330.6198,16307.5,574920.5,43334.9154,26,"Janjic
 Prime-seq",1000000
downsampled_2000000,29433,10491276,18102.88888888889,661.2396,18383,1116691,132938.8116,9,"Janjic
 Prime-seq",2000000
downsampled_5000,23363,89791,1524.2222222222222,114.16019999999999,1516,3349,80.0604,27,"Modified
 Prime-Seq",5000
downsampled_10000,25616,176971,2426.222222222222,124.5384,2437,6582,192.738,27,"Modified
 Prime-Seq",10000
downsampled_50000,30942,806216,5926.740740740741,444.78,5977,30070,1728.7115999999999,27,"Modified
 Prime-Seq",50000
downsampled_100000,32901,1454289,7781.148148148148,646.4136,7940,54788,6241.746,27,"Modified
 Prime-Seq",100000
downsampled_250000,34329,2681004,10157.36,683.4785999999999,10448,112202,16643.6676,25,"Modified
 Prime-Seq",250000
downsampled_1000000,34014,4145108,13623.25,291.3309,13748,266857.5,19345.7061,16,"Modified
 Prime-Seq",1000000
downsampled_2000000,26685,3532027,14954.3,70.42349999999999,15001.5,354263.5,18616.2669,10,"Modified
 Prime-Seq",2000000
downsampled_5000,13695,32329,1675.2222222222222,48.925799999999995,1677,3616,62.2692,9,TIRE-Seq,5000
downsampled_10000,16393,64168,2792.8888888888887,28.1694,2818,7210,51.891,9,TIRE-Seq,10000
downsampled_50000,22581,315804,7405.222222222223,191.25539999999998,7362,35569,1147.5323999999998,9,TIRE-Seq,50000
downsampled_100000,25367,619389,10030.222222222223,241.66379999999998,10017,70169,1209.8016,9,TIRE-Seq,100000
downsampled_250000,29343,1478924,13449.111111111111,189.7728,13413,167605,3727.2563999999998,9,TIRE-Seq,250000
downsampled_5000000,34274,8142721,24460.75,232.76819999999998,24167,2043371,99933.17039999999,4,TIRE-Seq,5000000
downsampled_1000000,33952,4656452,18526.875,195.70319999999998,18551,578472,12163.991699999999,8,TIRE-Seq,1000000
downsampled_2000000,33852,8128513,20932.375,323.94809999999995,20965.5,1010542.5,68823.0333,8,TIRE-Seq,2000000
downsampled_5000000,34274,8142721,24460.75,232.76819999999998,24167,2043371,99933.17039999999,4,TIRE-Seq,5000000
